Name,Kinships,Affiliation,Knowledgebase,Openness,Scope,Sides,InteriorParticleCount,ParticlesPerEdge,BorderParticleCount,TotalParticleCount,Color,Language,Cultural Practices,Free Text
Indie Music Collectors,"Podcast Creators, Street Art Collective, Italian Folk Musicians, Samba Dancers, Rapper, K-pop Fans",,6,5,regional,6,218,8,48,266,#E05400,3,"Belonging is cultivated through music exchanges, attending local shows, and supporting independent artists. Symbols include vinyl records and concert posters.","The indie music collectors' culture is a vibrant community passionate about discovering and sharing unique sounds. We thrive on supporting independent artists and celebrating creativity beyond mainstream music. Our gatherings often revolve around record swaps, listening parties, and live performances, where we connect over the joy of music. We take pride in our eclectic taste, discovering hidden gems and sharing them with one another. Each record we collect carries a story, representing the artist's journey and the experiences of those who listen. Our culture is defined by inclusivity and camaraderie, making it a rich tapestry of music lovers dedicated to preserving the art of indie music and fostering a supportive community."
Tech Startups,"Startup Founders, Gamer Culture, Virtual Reality Enthusiasts, Makers, Digital Nomads, Data Scientists",,6,5,global,6,176,8,48,224,#FF5CBC,4,"Belonging is fostered through hackathons, pitch competitions, and networking meetups.","The tech startup culture is a dynamic and fast-paced environment where innovation is the heartbeat. We are a mix of visionary thinkers, creators, and doers, constantly pushing the boundaries of what technology can achieve. Our community thrives on collaboration and support, with a strong emphasis on learning and growth. We share a collective dream of building solutions that can disrupt industries and improve lives, often transforming our ideas into tangible products that resonate with users. Through various events like hackathons and pitch days, we celebrate not only the success of our projects but also the journey of entrepreneurship, embracing the failures and lessons learned along the way. Our culture is rooted in the belief that anyone can be a changemaker, and together, we empower each other to take risks and innovate boldly."
Culinary Explorers,"Sustainable Fashion, Urban Foragers, International Students, Coffee Enthusiasts, Baking, Craft Beer",,5,4,national,6,137,7,42,179,#008D00,3,"Belonging is cultivated through food festivals, cooking classes, and cultural potlucks.","The culinary explorers’ culture is a celebration of flavors, ingredients, and traditions from around the world. We believe that food is more than just sustenance; it is a way to connect with others and understand diverse cultures. Our community thrives on sharing recipes, cooking tips, and cultural stories that enrich our culinary experiences. Through potlucks and food festivals, we create a vibrant space where everyone can share their heritage and learn from one another. Each dish we create is an opportunity to explore a different culture and connect with people on a deeper level. Our culture values sustainability and often emphasizes local sourcing, making each meal not only a culinary adventure but also a step towards a more conscious way of living. Together, we cherish the art of cooking as a way to nurture relationships and celebrate the beauty of diversity."
Virtual Reality Enthusiasts,"Tech Startups, Makers, Gamer Culture, Data Scientists, Digital Nomads, Indie Music Collectors, Podcast Creators",Gamer Culture,6,5,national,7,190,8,56,246,#E0A100,3,"Belonging is fostered through shared gameplay experiences, VR meetups, and collaborative creations.","The virtual reality enthusiasts’ culture is an exhilarating frontier of technology, creativity, and human connection. We immerse ourselves in digital realms that evoke emotions, challenge perceptions, and inspire collaboration. Our community thrives on exploring new virtual landscapes, whether it's through games, art installations, or educational simulations. We gather for VR experiences, share tips on the latest tech, and collaborate on projects that push the boundaries of what is possible in virtual spaces. Our culture values inclusivity, inviting individuals from all walks of life to join us in shaping the future of immersive experiences. Each encounter within the virtual world fosters connections and friendships that extend beyond the headset, making our collective journey one of exploration and discovery. Together, we envision and create a world where reality and imagination converge seamlessly."
Mexican Latina,"Argentinian, Brazilian, Salsa Dance, Indigenous Land Defenders, Culinary Explorers, Street Art Collective, Immigrants",Latino,7,7,local,7,260,8,56,316,#B724F3,1,"complaining about the government lol, unity in emergencies/ natural disasters, dancing and singing","We all have each others backs and we are brutally honest. We will never ever allow a family member to go to a elderly home, if anything, they come back to live with us. We are very proud of our nationality despite all the corruption and violence, economically affluent people (at least in my city) would rather stay and become involved in improving the quality of life of the less affluent in the city, than move to a different country to seek greater comfort (despite the violence that surrounds us). Mexicans will smile through hardships and though discomfort, no matter the horrible circumstances one may be in, they will generally greet you with a smile and usually have a positive outlook on life. We also have the best hospitality in the world because people working in service (restaurants, hotels etc) will treat you like a family member, they work with upmost seriousness and professionalism while maintaining a strong sense of humanity and warmth. We also have regular meals with our extended families, I have a meal with all my cousins twice a week. And we cook in community, when we gather a lot of the time we are cooking (carne asadas in the north)."
Turkish Jazz,"French, Podcast Creators, Kurdish, Indie Music Collectors, Street Art Collective",Indie Music Collectors,5,5,local,5,98,7,35,133,#FFB200,4,"language, shared fabricated history (propaganda), shared values and traditions",
Argentinian,"Brazilian, Mexican Latina, Salsa Dance, Rugby Union Fans, Immigrants, Feminist Scholars, Street Art Collective, Latino",Latino,3,4,national,7,164,8,56,220,#009800,1,being born or living > x years,"It is delirium, pride, heart, irony, hope with no logic, romanticized decay, the intensity of feeling, of my opinion, and of what others do wrong. It is the hug, holding each other close and kissing even if I do not know you, whether you are a friend, family, or enemy. It is football, politics, and the rise and fall of the dollar. So much contradiction of I love you and I hate you. Many flaws, but without a doubt there is life. And a raw kind of humanity that feels fully alive."
Latino,"Salsa Dance, Mexican Latina, Brazilian",,6,5,national,3,29,7,21,50,#FF5600,1,International stereotypes,"The way I identify my culture depends on who is asking. This being a survey in English I identify with Latino because within that context, that is what sets me apart. If I were asked that among other Latin people, I’d say Colombian. If I were asked by another Colombian I would say “rola”. So I think the scope question was a bit tricky in that sense. "
Celtic,"Chilean Mapuche, Māori, Basque Nationalists",,4,7,regional,3,32,6,18,50,#A72EFF,5,"Other cultures you are born to them, Celt you are made. Key symbol the Tree of Life","Two things. Survival, over two thousand years of colonialism and being told you do not even exist and yet you stand, cause the last thing the Europeans want is to come to terms with there still existing a First Nations people on this land. The Great Roman and English Empires who conquered mass parts of the globe could not conquer fully the Celts. The Chinese claim the Xia and 5000 years of history which would entail Nüwa being real. Yet we Celts are told that we are not connected to our ancestors the lands or anything of the like, yet the Chinese are? Survival in spite of such dogmatic hatred is key to a Celt, there is a reason why it is said we cannot be psychoanalysed. The 2nd we never get the credit for anything we do or deserve, yet we keep doing it without the need for praise. You might see the Irish get credit for boxing or something like that. But go through your Olympic swimming medals and you will see Celts all over the place and if any other culture popped up as often news reports would say how come Kenyans are so good at marathons or Jamaican culture reigns supreme at Sprinting. But the Celts are not doing it for one Country. American wins chances are it is a Celt like Katie Ledecky. Canada wins chances are it is a Celt Summer McIntosh, Hong Kong wins chances are it is a Celt like Siobhan Haughey. Celts have won more medals in swimming than most countries have won medals and yet the word Celt does not even appear next anyone of the winners names. Imagine that level of survival of fight and that is a Celt."
South Korean,"International Students, Chinese, Tech Startups, K-pop",,2,5,national,4,22,7,28,50,#F2B100,5,"Homogeneous race...sometimes it is hard for naturalized citizens to feel like they ""truly"" belong. Everyone shares historical story of grandparents generations going through Korean War, ancestors lived through Joseon Dynasty and also Japanese Colonialism era, etc. Key symbols include Mugeungwha (national flower) and language of Hangeul (only language in the world where we know the actual creator and exact year, King Sejong the Great in 1443) ","""Jeong"" or 정 is a really unique cultural feature...where Korean people have a tendency to take care of others in a warm direct or may be indirect way. For example, you visit a new area of Korea for the first time, and since you are a foreigner, local people may look at you with curiosity and alertness. Yet they will still come up to you and give you local foods to try, help you with directions actively, ask about your background and offer you unexpected kindness...it's a really commonly shared culture. "
Michigan Wolverine,"Tech Startups, Harvard Alum, Data Scientists, International Students",,2,6,local,4,45,6,24,69,#0052FF,2,"People join this culture when they become students, but then continue to be a part of the alumni network after graduating. You can go anywhere across the globe and often find an alumni wearing the Michigan ""M"" on a hat or t-shirt. If you say ""Go Blue,"" people will almost always say it back. The ""Go Blue"" acknowledges a shared history of once being a Michigan student, sharing academic and community values. You never feel alone.","While there are tons of fantastic universities across the globe, I think what made Michigan unique is the blend of academic rigor with community spirit. Most people really value education and academic excellence in general, but usually it is not the end all, be all. The school promotes collaboration and community spirit, which definitely comes out through the athletic programs."
Catalan,"International Students, French, Basque Nationalists, Italian",,3,5,national,4,50,7,28,78,#8281FF,3,"Catalan language is the main thing, if you speak it, you're considered part of it. If you do human towers, you're probably in it as well. Listening to Catalan music also gets you near the culture and the spaces Catalan-first people share. Next would be partaking in food practices like calçots, but those ones are more open.","Something that is kind of unique to our culture but is shared with the Basque culture is that it takes pride of being against external authorities. Other subcultures of Spain have the same regional pride (food, dances, own vocabulary - though not quite a whole new language) but are less political. Catalan culture is political in itself because there was an erasing force and the Catalan people tried to stand against it. Partaking in Catalan culture practices can sometimes have a side of soft activism, when in other regions it could just be a normal shared practice with other people in the culture. There is a special pride - not arrogance - that comes with those practices. Then, there is another side to it that is more specific to the geographic area where Catalonia is in - the sun, the beach, the weather, the food. Those are activities that everyone partakes in, regardless of origin or language, and are accessible to everybody - it's just the daily way of life of Catalan people and those who Catalans share a physical space with. Because Barcelona is extremely touristy, everyone ends up getting a small taste of the Catalan way of life. "
Chinese,"South Korean, Data Scientists, Makers, Gamer Culture, Japanese",,6,5,national,5,42,7,35,77,#7D39FF,4,"Belonging often forms through family lineage, language use (Mandarin or regional tongues), shared holidays, and everyday rituals. Key practices include Lunar New Year, Mid‑Autumn Festival, ancestor veneration, and communal meals. Symbols and stories—like the dragon, the character 福, zodiac animals, and tales of Confucius—create a felt unity. Participating in festivals, observing etiquette, giving red envelopes, respecting elders, and learning proverbs build connection to the bigger picture.","Chinese culture feels like a living tapestry woven from family, food, language, and shared seasons. What makes it unique to me is the balance of continuity and reinvention: classical texts, recipes, and rituals anchor us, while each generation adapts them. We value harmony, effort, and care for elders, but also curiosity and craft—writing characters by hand, listening to the guzheng, trading stories at the table. We share common moments that matter: returning home for New Year, honoring ancestors, gifting small acts of kindness, and speaking in idioms that carry wisdom. At heart, we’re about belonging through practice—showing up for one another, learning together, and celebrating the ordinary as much as the grand."
Gamer,"D&d Lore, Tabletop Rpg Players, Board Game Enthusiasts, Board Game Creators",,2,1,global,4,84,9,36,120,#FF6AFF,2,"Belonging happens through playing together, joining guilds/clans, voice chat, Discord servers, and shared rituals like patch‑day hype, midnight releases, and co‑op runs. Symbols and stories include GG, XP/levels, achievements/trophies, avatars, speedrun records, esports rivalries, and memes. People feel part of the bigger picture by contributing—strategies, guides, mods, clips, fan art—and by showing sportsmanship, teamwork, and a willingness to learn.","Gamer culture is a participatory world built on challenge, creativity, and camaraderie. What makes it unique is how quickly it evolves: a balance of competitive mastery and playful experimentation, where every patch, strat, or mod can reshape the meta. We share a language of moments—first clears, clutch wins, heartbreaking wipes, and the quiet joy of grinding toward a goal. Belonging comes from showing up for your squad, teaching newcomers, and celebrating both skill and discovery. At its heart, gamer culture is about making worlds together: designing routes, theory‑crafting builds, telling stories with avatars, and turning pixels and rules into friendships that outlast any single game."
Anime Lover,"Japanese, Gamer Culture, Manga Fans",,2,1,global,3,47,9,27,74,#BF00B5,3,"Belonging happens through shared watchlists, seasonal “cour” discussions, cosplay, con attendance, and participating in forums/Discord. Symbols and stories—like OP/ED themes, iconic lines, character archetypes, and studio reputations—create continuity. People feel part of the bigger picture by recommending series, making fan works, learning terms (seiyuu, isekai, slice‑of‑life), and celebrating releases, anniversaries, and award wins.","Anime lover culture is about finding meaning in animated stories and sharing that spark. What makes it unique is the blend of craft and community: directors’ styles, music that lingers, frames that invite rewatching, and the conversations that follow. We value curiosity—trying new genres each season—and generosity, from fansubbing history to thoughtful recommendations. Belonging feels like singing an OP with friends, trading theories after cliffhangers, and building cosplays that bring characters to life. At heart, we’re about connection through art: noticing details, honoring creators, and turning solitary viewing into a shared, joyful ritual."
International Students,"Immigrants, Harvard Alum, Brown University Alum, Anime Fans, K-pop Fans",Immigrants,2,2,regional,5,200,9,45,245,#8CBC00,3,"Belonging forms through orientation cohorts, WhatsApp/Discord groups, study circles, potlucks with home foods, and navigating visas, housing, and internships together. Shared symbols and stories include passports/visas, first‑day campus maps, culture nights, career fairs, and milestones like securing housing or OPT/CPT. People feel part of the bigger picture by exchanging resources, translating systems, celebrating festivals, and offering rides, referrals, and moral support.","International student culture feels like building a second home while learning a new language of life—bureaucracy, academics, and everyday logistics. What makes it unique is the blend of resilience and generosity: figuring out banking and healthcare, decoding coursework, and sharing checklists, recipes, and quiet encouragement. We value curiosity and mutual aid—teaching each other how to email professors, prepare for interviews, and find the best food near campus. Our common thread is choosing challenge: crossing oceans to chase an education and carrying our hometowns in small rituals. At heart, we’re about turning strangers into a network—celebrating wins, surviving setbacks, and translating uncertainty into confidence together."
Brown University Alum,"Harvard Alum, Startup Founders, Tech Startups, Data Scientists, Feminist Scholars",,4,6,global,5,89,6,30,119,#009E00,2,"Belonging happens through reunion weekends, alumni interviews/mentorship, chapter meetups, career panels, and giving back. Shared symbols and stories—like the Van Wickle Gates, “Ever True,” “Go Bruno!,” the Open Curriculum, and Providence touchstones—create continuity. People feel part of the bigger picture by supporting students, collaborating across fields, and celebrating classmates’ milestones.","Brown alumni culture is defined by curiosity and care: the Open Curriculum becomes a lifelong habit of crossing boundaries and inviting others in. What makes it unique is the mix of humility and initiative—alums show up to help, connect, and build, whether that’s mentoring, starting ventures, or hosting gatherings. We share the feeling of walking through the Gates and carrying that openness forward: listening first, learning widely, and turning neighborhoods and workplaces into communities. At heart, we’re about being “ever true”—keeping ties alive, celebrating diverse paths, and making impact with warmth and collaboration."
Rapper,"Street Art Collective, Turkish Jazz, Makers, Sustainable Fashion, Podcast Creators",,2,2,global,5,177,9,45,222,#FF7800,3,"Belonging happens through writing bars, recording, performing at open mics, cyphers, and collaborations. Shared symbols and stories—like the mic, the cipher circle, origin tales of boroughs/blocks, classic albums, and battles—build continuity. People feel part of the bigger picture by honing craft, paying respect to predecessors, supporting peers, and contributing to community narratives.","Rapper culture is a craft and a conversation—rhythm, breath, and truth shaped into bars. What makes it unique is its relentless self‑invention: flipping memories into metaphors, pain into performance, and everyday details into punchlines. We value authenticity and skill, but also community—iron sharpening iron in cyphers, sharing stems, trading verses, and lifting each other on stage and online. The common thread is voice: telling the story only you can tell, honoring the lineage while pushing sound forward. At heart, we’re about making language move—finding flow, finding family, and turning a beat into a place where we all belong."
Neuroscientist,"Data Scientists, Tech Startups, Startup Founders, Virtual Reality Enthusiasts, Nobel Laureate",,3,5,global,5,177,8,40,217,#3632FC,5,"Belonging happens through lab work, reading groups, conference posters/talks, co‑authored papers, and peer review. Shared symbols and stories include neuron schematics, EEG/fMRI maps, “publish‑or‑perish,” replication challenges, and landmark experiments and atlases. People feel part of the bigger picture by contributing reproducible datasets and methods, mentoring students, adhering to IRB/ethics, and advancing understanding from molecules to behavior.","Neuroscientist culture is a patient climb toward insight—turning messy signals into careful stories about the brain. What makes it unique is the fusion of rigor and wonder: calibrating instruments, debugging code, and weighing statistics, while staying open to surprising results. We share a commitment to ethics and reproducibility, and to collaboration across fields—biology with engineering, computation with clinical care. Belonging feels like presenting a poster after months of experiments, reviewing a colleague’s preprint thoughtfully, and teaching the next generation to question assumptions. At heart, we’re about illuminating mechanisms that can improve lives—building trustworthy knowledge, one validated finding at a time."
Startup Founders,"Makers, Data Scientists, Digital Nomads, Podcast Creators, Virtual Reality Enthusiasts, Board Game Creators",Tech Startups,2,2,national,6,223,9,54,277,#00AFFF,3,"Belonging forms through building and shipping: standups, retros, user interviews, pitch nights, and sharing metrics transparently. Symbols and stories—like MVPs, ramen profitability, pivot tales, unicorns/rockets, and classic founder letters—create continuity. People feel part of the bigger picture by mentoring, open‑sourcing tools, writing postmortems, and celebrating launches and milestones.","Founder culture is learning in public—turning uncertainty into experiments and experiments into value. What makes it unique is the blend of urgency and care: moving fast for customers while keeping integrity with teams and stakeholders. We share humility in listening and courage in decisions, from killing features to changing direction. Belonging feels like late‑night debugging, honest board updates, and the quiet pride of a first paying user. At heart, we’re about compounding insight through feedback loops—asking better questions, building simple things well, and creating products that help people and endure."
Harvard Alum,"Feminist Scholars, Startup Founders, Tech Startups, International Students, Brown University Alum, Data Scientists",,5,6,global,6,101,6,36,137,#3E58FF,2,"Belonging happens through reunions, chapter events, the HAA network, mentorship/interviews, talks and forums, and service initiatives. Shared symbols and stories—like the Veritas shield, Crimson, Harvard Yard and Houses, Commencement, and “Veritas” ideals—create continuity. People feel part of the bigger picture by supporting students, collaborating across fields, and celebrating classmates’ milestones and impact.","Harvard alumni culture feels like curiosity carried forward—turning the habits of study and discussion into lifelong collaboration. What makes it unique is the mix of tradition and initiative: House bonds, the Yard’s memory, and the impulse to connect people and ideas. We share a language of mentorship, lectures, and service, and the belief that knowledge should travel. Belonging is showing up for chapters, offering advice on a call, and cheering peers’ work from lab to startup to public service. At heart, we’re about living “Veritas” with warmth—building communities that keep learning, open doors, and make a wider impact."
Nobel Laureate,"International Students, Queer Literature, Feminist Scholars, Harvard Alum, Brown University Alum, Neuroscientist, Data Scientists",,4,7,global,7,123,6,42,165,#FF8A00,5,"Belonging is formal—via prize selection—then sustained through lectures, publications, mentorship, and public engagement. Shared symbols and stories include the Nobel medal and diploma, ceremony traditions, landmark discoveries or works, and the narrative of advancing knowledge for humanity. People feel part of the bigger picture by contributing to their fields, collaborating across borders, and engaging with society through education, ethics, and peace initiatives.","Nobel laureate culture is a crossroads of excellence and responsibility. What makes it unique is how individual achievement becomes a public trust: discoveries, novels, and peace efforts move from labs and libraries into the world’s conversation. We share a commitment to rigor, originality, and ethics, and a belief that ideas should improve lives. Belonging feels like standing on a stage to represent a community of mentors, peers, and students—and then continuing the work through teaching, collaboration, and advocacy. At heart, this culture is about stewarding influence wisely: honoring the past, opening doors for the next generation, and using recognition to catalyze deeper curiosity and humane impact."
Immigrants,"International Students, Startup Founders, Tech Startups, Digital Nomads, Harvard Alum, Brown University Alum",,2,2,global,6,220,9,54,274,#B34500,3,"Belonging forms through mutual aid—sharing housing leads, job tips, and system know‑how—plus cultural festivals, language exchange, potlucks, and mentorship across generations. Symbols and shared stories include passports/visas, first job and first home milestones, holiday gatherings, and the journey narratives of crossing borders and building new routines. People feel part of the bigger picture by celebrating heritage, helping newcomers, and sustaining ties between old and new homes.","Immigrant culture feels like carrying two maps—one of where we came from and one of where we’re going—and learning to read them together. What makes it unique is everyday courage and generosity: decoding paperwork, finding schools and doctors, and turning kitchens and parks into familiar places. We share small rituals that matter—recipes from home, group chats that translate systems, rides to appointments—and a belief that opportunity grows when we help each other. At heart, we’re about resilience with care: honoring our roots, building new belonging, and weaving communities that make the unfamiliar feel like home."
Adhd,"Makers, Tech Startups, Startup Founders, Parents, Podcast Creators, Neuroscientist",,2,3,global,6,160,9,54,214,#FF4700,3,"Belonging forms through shared strategies and mutual aid: body‑doubling sessions, timers/Pomodoro, planners and visual cues, medication management, and celebrating small wins. Symbols and stories—like the infinity neurodiversity loop, “time blindness,” hyperfocus projects, and masking/unmasking journeys—create continuity. People feel part of the bigger picture by swapping tools, advocating for accessibility, and normalizing strengths alongside challenges.","ADHD culture feels like designing life around attention as a dynamic resource—honoring bursts of hyperfocus and building kind scaffolds for executive function. What makes it unique is the mix of creativity and practicality: turning fidget tools, checklists, playlists, and peer accountability into a humane system that works. We share a language of compassion—naming time blindness, celebrating progress over perfection, and making invisible effort visible. Belonging is co‑working quietly, texting reminders, and reframing “distractions” as curiosity that can lead to great work. At heart, we’re about acceptance with structure: seeing people as whole, building environments that fit brains, and choosing tools that help us thrive."
